Country Name,Country Code,Series Name,Series Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005]
Benin,BEN,"GDP deflator, index (2000=100; US$ series)",NY.GDP.MKTP.CD.XD,127.4621512,106.5078962,102.2960094,92.40013152,82.1555575,76.00817784,95.05156644,112.8441544,113.1675333,108.0119273,129.3104592,125.7433424,104.232128,132.1338408,90.99707208,116.4995101,121.5264994,110.4172432,114.9564876,110.6298772,100,99.71033426,107.2711382,130.8302769,144.4782095,151.1034004
Burkina Faso,BFA,"GDP deflator, index (2000=100; US$ series)",NY.GDP.MKTP.CD.XD,175.2356296,154.7602791,139.5517825,126.8498529,117.8164343,115.4567006,140.2773954,163.6405489,170.7456747,167.1225429,199.3590901,184.7697042,131.7275937,132.5351396,106.3166239,126.2618335,123.6298716,110.0406399,117.5133442,117.5946051,100,101.0760325,109.5536836,133.3298124,146.8177245,152.5436197
Cameroon,CMR,"GDP deflator, index (2000=100; US$ series)",NY.GDP.MKTP.CD.XD,115.3593581,111.6187271,99.55462886,93.907453,92.34788545,89.25121922,108.9599965,128.9769045,142.0942933,129.050717,137.5846938,159.4855168,150.8474827,185.0398474,129.3143458,118.5681991,125.8407625,121.0656208,112.7872453,117.65322,100,99.24262795,107.7657386,129.6978338,144.8406902,148.8819095
Central African Republic,CAF,"GDP deflator, index (2000=100; US$ series)",NY.GDP.MKTP.CD.XD,108.4000094,95.97693175,95.96406066,91.94099684,81.31914498,106.0975525,132.6717423,150.9773502,157.1517396,152.3957669,182.6056869,173.3511975,189.1868125,170.7653849,106.90878,131.1692672,130.3218346,115.7825589,115.6801646,112.0997912,100,101.2983465,108.4271247,134.1282097,147.9843363,153.670488
Burundi,BDI,"GDP deflator, index (2000=100; US$ series)",NY.GDP.MKTP.CD.XD,139.5649287,131.1026674,138.5388389,142.765345,129.9359667,135.4136545,137.0524796,122.3089153,111.4006927,113.1182839,111.076673,109.0888846,100.1937374,92.61366159,94.90648618,111.4706409,105.2503037,119.7330284,105.0073172,95.9080232,100,96.45468979,87.60318364,86.31027353,97.48566962,120.0923271
Chad,TCD,"GDP deflator, index (2000=100; US$ series)",NY.GDP.MKTP.CD.XD,155.3646608,130.5310109,117.8916584,101.6743304,110.0087452,101.5244832,109.4059507,122.1178102,134.755805,124.2413411,157.2352682,156.4136823,145.1889115,133.9340394,98.05317406,118.6987622,129.0918314,117.4214212,124.011855,109.8273892,100,110.5279301,118.4625036,142.175077,171.6419401,175.6780168
"Congo, Dem. Rep.",COD,"GDP deflator, index (2000=100; US$ series)",NY.GDP.MKTP.CD.XD,205.1775719,174.6032809,190.9889594,151.8420695,102.7093625,93.60935103,100.5783146,92.70887091,106.7234268,110.0505027,122.0681291,129.5605011,130.7153227,197.1112614,111.4909667,107.3501078,110.9201392,124.024866,128.6546554,101.8667985,100,111.3154154,127.1352761,122.8992235,132.33857,135.5853214
"Congo, Rep.",COG,"GDP deflator, index (2000=100; US$ series)",NY.GDP.MKTP.CD.XD,97.69252843,97.06727036,85.11890508,78.05336201,76.31382868,76.0779278,69.90372405,86.6926339,82.02860236,86.34794534,100.131373,95.2071418,99.8788364,65.98912201,64.38104701,74.04315258,85.24653559,78.42282821,63.44960198,78.64321163,100,83.60162395,86.39678358,99.20395208,127.4842247,154.9153947
Cote d'Ivoire,CIV,"GDP deflator, index (2000=100; US$ series)",NY.GDP.MKTP.CD.XD,131.6813492,105.4343269,94.42344849,88.79086598,91.30202733,89.10623589,113.2620611,125.1923849,125.8411621,116.3044981,130.1081604,126.402095,134.6864698,133.6490133,99.78108822,123.2440428,126.2480907,115.3160792,120.0422522,116.077302,100,101.2524044,111.8921847,135.9317533,150.4852095,157.0891218
Gabon,GAB,"GDP deflator, index (2000=100; US$ series)",NY.GDP.MKTP.CD.XD,119.0660598,102.2445272,98.83986697,87.72592218,85.69341584,82.28254622,84.53173965,98.372765,101.856466,102.449614,138.4742689,118.4531688,126.5166656,95.29713974,87.94413704,99.13052944,109.8455834,97.18455978,79.04807938,90.27842635,100,91.05378314,95.53348216,114.4625084,133.8944176,156.9018355
"Gambia, The",GMB,"GDP deflator, index (2000=100; US$ series)",NY.GDP.MKTP.CD.XD,60.71623142,53.32474932,53.06818739,47.28314703,37.94318035,48.69104483,38.47168793,44.62524863,51.62746386,51.94298902,55.97720155,118.1935615,118.2961974,121.3948325,119.8356946,125.0746652,132.0426925,119.2554969,120.4777512,109.7865193,100,82.98824689,72.15293199,56.86656795,63.12837532,68.72608279
Ghana,GHA,"GDP deflator, index (2000=100; US$ series)",NY.GDP.MKTP.CD.XD,168.2073018,165.577368,170.0389911,179.1096467,179.2782345,174.1517332,210.5023982,177.9776738,172.5787236,165.9300963,180.0748221,191.7763249,179.3846545,159.1628942,140.5898414,160.2772121,164.3321694,156.7687167,162.5636398,160.6245903,100,102.560874,113.8649469,133.9788571,147.6302507,168.4507466
Kenya,KEN,"GDP deflator, index (2000=100; US$ series)",NY.GDP.MKTP.CD.XD,102.5388196,93.2228627,86.17297135,79.07663143,80.47110595,76.45024069,84.16745412,87.48083754,86.34528297,81.76348442,81.21411016,76.13176693,77.28793812,53.96182548,65.34183488,79.20331395,101.2659199,109.7390814,114.1675728,102.1093252,100,98.48616082,99.1705182,109.2186205,112.2169174,123.3548384
Liberia,LBR,"GDP deflator, index (2000=100; US$ series)",NY.GDP.MKTP.CD.XD,65.14871382,65.93272953,68.96735694,67.00051442,70.52953388,71.36560078,71.70308598,83.78293913,91.28817412,94.27338574,94.11563092,99.33401013,98.27787266,105.2321147,110.8560987,118.0735939,124.5269706,112.0632852,105.0021293,104.9668737,100,79.72555905,62.91218776,71.47128827,86.00105576,91.16878765
Madagascar,MDG,"GDP deflator, index (2000=100; US$ series)",NY.GDP.MKTP.CD.XD,130.4445334,128.4706551,128.3397732,126.6648624,104.2520773,100.2000052,112.0432889,87.19760777,80.2806416,78.88872619,94.35967429,86.71459471,97.69185871,106.6443727,94.25305187,98.35829898,121.7372912,104.1990245,105.7116173,100.4331926,100,110.1811588,122.4861151,138.889639,105.1937337,116.111693
Malawi,MWI,"GDP deflator, index (2000=100; US$ series)",NY.GDP.MKTP.CD.XD,123.7938814,130.7111388,121.5849783,121.5101509,113.89522,102.0034737,106.950584,105.1867984,118.9107928,135.2126656,151.3076233,163.0390693,143.6829587,150.7225023,95.83733438,97.08441306,147.6649575,166.1074915,105.0912668,103.4644919,100,103.6054903,158.1760041,136.4002848,140.8445813,143.7307295
Mali,MLI,"GDP deflator, index (2000=100; US$ series)",NY.GDP.MKTP.CD.XD,116.3637663,101.7313443,94.80333257,88.21934425,85.62844651,96.77100871,114.0145332,131.8999787,131.0678146,120.8841442,148.5249704,146.2635674,158.9599311,152.491948,99.46661852,131.0261993,134.8123058,119.3368182,118.0778445,109.5026942,100,96.83813795,118.1882231,143.5550501,156.9643701,161.0565435
Mauritius,MUS,"GDP deflator, index (2000=100; US$ series)",NY.GDP.MKTP.CD.XD,74.8047108,71.31049553,63.8088254,64.26470678,58.58151226,56.64458075,70.16811505,82.84873427,88.04290546,86.15211215,97.33726669,100.3477915,106.327078,102.4117857,107.2275635,116.7529475,121.0179616,108.4311873,101.7932825,102.0939481,100,96.51200428,99.32224833,112.7524353,121.3726029,117.971403
Niger,NER,"GDP deflator, index (2000=100; US$ series)",NY.GDP.MKTP.CD.XD,164.6617495,141.6372729,129.533959,121.5358743,118.41776,108.3741791,134.6783566,157.82511,150.7697667,142.7725221,164.6104721,150.7046824,162.3871279,109.6637057,102.5954101,120.3034212,122.9429468,111.089677,113.204299,110.6418347,100,100.9966361,109.4051143,130.7498777,145.9928158,155.8250197
Nigeria,NGA,"GDP deflator, index (2000=100; US$ series)",NY.GDP.MKTP.CD.XD,204.1279452,219.2987298,182.5599556,135.385763,114.6956697,105.3855326,73.13802927,85.4269,75.76343429,73.75487741,81.40188675,74.54303877,86.74115911,55.40450555,61.33861295,71.08465209,85.58803858,85.53407289,74.48851255,79.71117151,100,101.2460326,122.7936432,127.4072801,149.572885,181.331428
Rwanda,RWA,"GDP deflator, index (2000=100; US$ series)",NY.GDP.MKTP.CD.XD,91.87914139,97.7187635,95.99302023,95.23908146,106.697562,110.4524393,118.7052319,131.7214523,139.9596035,140.5677546,152.7162955,117.4275746,117.7271799,124.484975,95.64590511,121.4028132,115.0704462,135.3804046,133.6180742,113.4830379,100,88.82672873,78.38323119,85.02437051,89.97630815,101.966542
Senegal,SEN,"GDP deflator, index (2000=100; US$ series)",NY.GDP.MKTP.CD.XD,130.9312106,112.9996887,102.5686016,96.65130046,90.85587997,96.31264132,132.1154477,149.8143098,149.0461362,141.2712871,165.4957272,158.5652159,167.4273826,156.3031486,106.733833,127.4676447,129.7457061,116.0465348,117.9749158,113.4412535,100,99.66547227,108.2793562,130.5242534,144.3156295,148.0109441
Sierra Leone,SLE,"GDP deflator, index (2000=100; US$ series)",NY.GDP.MKTP.CD.XD,146.0659105,143.7994856,159.4608018,125.1299165,131.3677956,109.3196536,61.77242064,82.41852617,133.4424821,117.143446,78.92485169,92.58186964,99.66288646,111.1519876,134.459821,139.5553715,148.3303416,142.276416,110.5429165,112.2733613,100,182.8166298,166.1801977,168.1654207,164.9106989,179.7800637
South Africa,ZAF,"GDP deflator, index (2000=100; US$ series)",NY.GDP.MKTP.CD.XD,84.3365379,86.29314506,79.89766536,87.42457501,82.36882292,65.65492419,77.81479165,99.72012165,105.4609179,112.2283033,100.9637369,109.4799216,121.4434315,119.865133,120.8930647,130.4816812,118.9840415,120.014656,107.7483117,104.3943971,100,86.7899046,78.50571131,115.4615224,143.8291322,154.0536898
Togo,TGO,"GDP deflator, index (2000=100; US$ series)",NY.GDP.MKTP.CD.XD,121.0406384,106.0156615,93.87930924,92.49966413,82.1842509,82.65191662,113.2233974,132.6306567,137.2882525,129.4538287,156.1928639,154.7701231,170.3064979,146.1483081,101.2539111,125.1087153,128.652427,115.0521671,124.7050011,120.8225434,100,104.6445074,116.8991937,126.4162414,143.2739561,154.6202994
Zambia,ZMB,"GDP deflator, index (2000=100; US$ series)",NY.GDP.MKTP.CD.XD,141.5259864,137.5452386,136.6882887,119.6179942,98.28306937,80.10940929,58.77007141,77.90113891,120.6565943,130.5936464,108.0232714,110.9676297,106.4353784,102.5010623,114.680731,122.6320305,107.8309805,124.8188947,105.287922,99.62859676,100,107.0624496,105.2543914,117.131481,139.2121978,174.414369
Zimbabwe,ZWE,"GDP deflator, index (2000=100; US$ series)",NY.GDP.MKTP.CD.XD,182.7881778,194.8505161,202.3693327,181.1175091,151.0615147,125.3558928,135.4168098,145.152414,156.4526976,157.6932632,156.2418047,145.6528299,125.072582,120.330928,115.6432289,119.1570927,129.8626226,126.1238152,92.0090265,99.37601727,100,99.86911002,102.5785082,111.6067259,120.1017,126.270845
Swaziland,SWZ,"GDP deflator, index (2000=100; US$ series)",NY.GDP.MKTP.CD.XD,115.2714784,106.0234983,98.57020432,100.6184255,84.39273222,59.3621795,65.78510843,74.65216499,82.98974509,74.01994985,97.82969987,99.71147414,107.3416572,109.9771564,112.3133659,128.2573183,116.5149765,121.044683,108.3651998,103.3220171,100,87.49694107,77.99824948,115.5362951,146.583554,152.7205447
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Africa Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 02/22/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,